case,start,solver,stopping,condition,converged,residual_calls,jacobian_calls,residual_norm,relative_residual,gradient_infinity,gradient_orthogonality,parameter_error,equivalent_parameter_error,fit_target,recovery_target,termination,parameters
collinear-1e-8,0,trust-cholesky,step-only,2.44948975e8,true,84,68,4.71027738e-16,3.33066908e-8,6.66133816e-24,8.16496582e-9,3.79071460e-8,3.79071460e-8,false,true,"SolverConverged","[0.999999962092854, -0.999999962092854]"
collinear-1e-8,0,trust-qr,step-only,2.44948975e8,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.23680807e-9,2.23680807e-9,true,true,"SolverConverged","[1.000000002236808, -1.000000002236808]"
collinear-1e-8,0,minpack,step-only,2.44948975e8,true,2,1,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.22044605e-16,2.22044605e-16,true,true,"ResidualsZero","[0.9999999999999998, -0.9999999999999998]"
collinear-1e-8,0,cholesky,exact-progress,2.44948975e8,true,143,100,6.28036983e-16,4.44089210e-8,8.88178419e-24,8.16496580e-9,4.76361569e-8,4.76361569e-8,false,true,"SolverConverged","[0.9999999523638431, -0.9999999523638431]"
collinear-1e-8,0,qr,exact-progress,2.44948975e8,true,36,36,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.99495109e-9,1.99495109e-9,true,true,"SolverConverged","[1.000000001994951, -1.000000001994951]"
collinear-1e-8,0,trust-cholesky,exact-progress,2.44948975e8,false,600,68,4.71027738e-16,3.33066908e-8,6.66133816e-24,8.16496582e-9,3.79071460e-8,3.79071460e-8,false,true,"MaxIter","[0.999999962092854, -0.999999962092854]"
collinear-1e-8,0,trust-qr,exact-progress,2.44948975e8,true,3,3,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.23680807e-9,2.23680807e-9,true,true,"SolverConverged","[1.000000002236808, -1.000000002236808]"
collinear-1e-8,0,minpack,exact-progress,2.44948975e8,true,2,1,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.22044605e-16,2.22044605e-16,true,true,"ResidualsZero","[0.9999999999999998, -0.9999999999999998]"
collinear-1e-8,1,cholesky,relative,2.44948975e8,true,8,6,7.07106781e-9,5.00000000e-1,5.55111512e-17,4.53246652e-9,5.00000000e-1,5.00000000e-1,false,false,"SolverConverged","[0.5000000000020665, -0.5000000000020665]"
collinear-1e-8,1,qr,relative,2.44948975e8,true,8,6,7.07106781e-9,5.00000000e-1,5.55111512e-17,4.53246652e-9,5.00000000e-1,5.00000000e-1,false,false,"SolverConverged","[0.5000000000020173, -0.5000000000020173]"
collinear-1e-8,1,trust-cholesky,relative,2.44948975e8,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.22044605e-16,2.22044605e-16,true,true,"SolverConverged","[1.0000000000000002, -1.0000000000000002]"
collinear-1e-8,1,trust-qr,relative,2.44948975e8,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,3.31430705e-9,3.31430705e-9,true,true,"SolverConverged","[1.000000003314307, -1.000000003314307]"
collinear-1e-8,1,minpack,relative,2.44948975e8,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.22044605e-16,2.22044605e-16,true,true,"ResidualsZero","[0.9999999999999998, -0.9999999999999998]"
collinear-1e-8,1,cholesky,gradient-only,2.44948975e8,false,600,6,7.07106781e-9,5.00000000e-1,5.55111512e-17,4.53246652e-9,5.00000000e-1,5.00000000e-1,false,false,"MaxIter","[0.5000000000020665, -0.5000000000020665]"
collinear-1e-8,1,qr,gradient-only,2.44948975e8,false,52,6,7.07106781e-9,5.00000000e-1,5.55111512e-17,4.53246652e-9,5.00000000e-1,5.00000000e-1,false,false,"SolverFailed","[0.5000000000020173, -0.5000000000020173]"
collinear-1e-8,1,trust-cholesky,gradient-only,2.44948975e8,true,3,3,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.22044605e-16,2.22044605e-16,true,true,"SolverConverged","[1.0000000000000002, -1.0000000000000002]"
collinear-1e-8,1,trust-qr,gradient-only,2.44948975e8,true,3,3,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,3.31430705e-9,3.31430705e-9,true,true,"SolverConverged","[1.000000003314307, -1.000000003314307]"
collinear-1e-8,1,minpack,gradient-only,2.44948975e8,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.22044605e-16,2.22044605e-16,true,true,"ResidualsZero","[0.9999999999999998, -0.9999999999999998]"
