comparison,mode,case,rounds,median_ratio,bootstrap_95_lower,bootstrap_95_upper
paired/lp-cobyla,lp-basin,sphere,15,1.441473643560379,1.439716941608974,1.4525835825013012
paired/lp-cobyla,lp-basin,sphere_1,15,1.4375335185123068,1.4346087588853964,1.4465828859219063
paired/lp-cobyla,lp-basin,sphere_20,15,1.3031074235620543,1.2828234137215686,1.3073500030053107
paired/lp-cobyla,lp-basin,sphere_3,15,1.3727871281019863,1.366260662705313,1.4089639952621602
paired/lp-cobyla,lp-basin,sphere_40,15,1.3268191334293362,1.3191550676888528,1.3308428537557213
paired/lp-cobyla,lp-basin,sphere_5,15,1.579101051508634,1.5770481325713905,1.5920360733614836
paired/lp-prima,lp-basin,camel,15,0.09821214871470459,0.09765100748656183,0.09868211756210457
paired/lp-prima,lp-basin,quadratic,15,0.10984657910932873,0.10869732574570894,0.11059183873827796
paired/lp-prima,lp-basin,sphere,15,0.23927400258452058,0.23527440266014563,0.24053121529744678
paired/lp-prima,lp-basin,sphere_1,15,0.09303745719701761,0.09257524803491476,0.09336028025041554
paired/lp-prima,lp-basin,sphere_20,15,0.3927849173225722,0.3837645039447398,0.39537011562322166
paired/lp-prima,lp-basin,sphere_3,15,0.1125913713683661,0.11204389202754558,0.11392264291255631
paired/lp-prima,lp-basin,sphere_40,15,0.5454036029362711,0.5327969212216521,0.549380989622896
paired/lp-prima,lp-basin,sphere_5,15,0.17171418300833638,0.1691471248776566,0.17228970112320927
before/lp-cobyla,lp-basin,camel,15,1.3633251018643013,1.341818930659349,1.3730372664096473
before/lp-cobyla,lp-basin,quadratic,15,1.4004722326205263,1.399082633878441,1.4042751062970182
before/lp-cobyla,lp-basin,sphere,15,1.5399101656001772,1.5357741035236765,1.5426435379495724
before/lp-cobyla,lp-basin,sphere_1,15,1.4384226405133012,1.432654755619374,1.4515041331285008
before/lp-cobyla,lp-basin,sphere_20,15,1.442711474208024,1.434231477532073,1.4539372155710195
before/lp-cobyla,lp-basin,sphere_3,15,1.4004953166738099,1.3930418837797784,1.4075779774222594
before/lp-cobyla,lp-basin,sphere_40,15,1.5756290540120268,1.5685611581915828,1.5811507561879203
before/lp-cobyla,lp-basin,sphere_5,15,1.6739767590207852,1.6714086467725713,1.6802668863005406
before/lp-prima,lp-basin,camel,15,0.09668578479302839,0.09598230364285995,0.09866612701247025
before/lp-prima,lp-basin,quadratic,15,0.10971186252629264,0.10814335741695827,0.11042747736239218
before/lp-prima,lp-basin,sphere,15,0.25538520430280215,0.25070831175477104,0.2564744441093025
before/lp-prima,lp-basin,sphere_1,15,0.09286010538674123,0.09232612006744242,0.09333664847774412
before/lp-prima,lp-basin,sphere_20,15,0.4360017586031741,0.42852088727259857,0.43682610448424336
before/lp-prima,lp-basin,sphere_3,15,0.11503769898716318,0.11426265670142827,0.11565666488364289
before/lp-prima,lp-basin,sphere_40,15,0.6449328312385606,0.6284341840116959,0.650312257995966
before/lp-prima,lp-basin,sphere_5,15,0.18187512948060783,0.17956363558731342,0.18223881338442188
control/lp-cobyla,lp-basin,camel,15,1.3556496642989895,1.3514808695643752,1.3601097645548512
control/lp-cobyla,lp-basin,quadratic,15,1.404843232473206,1.4011399400152722,1.4082138637384272
control/lp-cobyla,lp-basin,sphere,15,1.5405189791338842,1.533557818794502,1.5445544982109207
control/lp-cobyla,lp-basin,sphere_1,15,1.4352395122842685,1.4333412218502413,1.4504200791395871
control/lp-cobyla,lp-basin,sphere_20,15,1.4379824481490737,1.4307624337442324,1.4481223209913012
control/lp-cobyla,lp-basin,sphere_3,15,1.3999185559084288,1.3958553583971471,1.411457685245498
control/lp-cobyla,lp-basin,sphere_40,15,1.5673111551183105,1.564786564211452,1.5762588055285711
control/lp-cobyla,lp-basin,sphere_5,15,1.6736358196467014,1.666146081639251,1.6766716784375801
control/lp-prima,lp-basin,camel,15,0.09681954930450122,0.09562758067435245,0.09752310264744311
control/lp-prima,lp-basin,quadratic,15,0.11041014730775874,0.10805999756932337,0.11085513980524134
control/lp-prima,lp-basin,sphere,15,0.2550882031804039,0.2539939023911991,0.2559678251316547
control/lp-prima,lp-basin,sphere_1,15,0.09297816440438009,0.09217437303948037,0.09319173775729055
control/lp-prima,lp-basin,sphere_20,15,0.4324645055687322,0.4228680322444763,0.4365941764117947
control/lp-prima,lp-basin,sphere_3,15,0.1149673608995642,0.11478837733084629,0.11560903443049853
control/lp-prima,lp-basin,sphere_40,15,0.6385271366053328,0.6322438488393733,0.6452828173089147
control/lp-prima,lp-basin,sphere_5,15,0.181807902751847,0.17919557617371001,0.18202951621830557
