case,start,solver,condition,converged,residual_calls,jacobian_calls,residual_norm,parameter_error,equivalent_parameter_error,termination,parameters
ssvi-narrow-false,1,qr,8.29274818e0,true,8,7,9.68963801e-17,2.77555756e-16,2.77555756e-16,"SolverConverged","[-0.3, 0.4999999999999997, 0.5000000000000001]"
ssvi-narrow-false,1,minpack,8.29274818e0,true,8,7,1.15551336e-16,4.44089210e-16,4.44089210e-16,"Converged { ftol: false, xtol: true }","[-0.3, 0.49999999999999956, 0.5000000000000002]"
ssvi-narrow-false,2,cholesky,8.29274818e0,true,8,7,3.86341262e-17,5.55111512e-17,5.55111512e-17,"SolverConverged","[-0.3, 0.49999999999999994, 0.5]"
ssvi-narrow-false,2,qr,8.29274818e0,true,8,7,1.39793313e-16,4.99600361e-16,4.99600361e-16,"SolverConverged","[-0.3, 0.4999999999999995, 0.5000000000000002]"
ssvi-narrow-false,2,minpack,8.29274818e0,true,7,6,1.01891933e-16,2.22044605e-16,2.22044605e-16,"Converged { ftol: false, xtol: true }","[-0.29999999999999993, 0.5000000000000002, 0.4999999999999999]"
ssvi-narrow-true,0,cholesky,3.90077509e2,true,32,31,3.02459373e-17,1.80966353e-14,1.80966353e-14,"SolverConverged","[-0.3, 0.4999999999999819, 0.5000000000000111]"
ssvi-narrow-true,0,qr,3.90077509e2,true,32,31,1.69967494e-17,1.43773882e-14,1.43773882e-14,"SolverConverged","[-0.3, 0.4999999999999856, 0.5000000000000088]"
ssvi-narrow-true,0,minpack,3.90077509e2,true,7,6,3.25462973e-17,1.65978342e-14,1.65978342e-14,"Converged { ftol: false, xtol: true }","[-0.3, 0.4999999999999834, 0.5000000000000102]"
ssvi-narrow-true,1,cholesky,3.90077509e2,true,29,26,3.25462973e-17,1.09356968e-14,1.09356968e-14,"SolverConverged","[-0.3, 0.49999999999998906, 0.5000000000000068]"
ssvi-narrow-true,1,qr,3.90077509e2,true,29,26,3.67171753e-17,1.96509475e-14,1.96509475e-14,"SolverConverged","[-0.3, 0.49999999999998035, 0.5000000000000121]"
ssvi-narrow-true,1,minpack,3.90077509e2,true,7,6,3.53815554e-17,9.49240686e-15,9.49240686e-15,"Converged { ftol: false, xtol: true }","[-0.30000000000000004, 0.4999999999999905, 0.5000000000000058]"
ssvi-narrow-true,2,cholesky,3.90077509e2,true,13,12,1.69967494e-17,1.50435220e-14,1.50435220e-14,"SolverConverged","[-0.3, 0.49999999999998496, 0.5000000000000092]"
ssvi-narrow-true,2,qr,3.90077509e2,true,13,12,1.69967494e-17,1.32116540e-14,1.32116540e-14,"SolverConverged","[-0.3, 0.4999999999999868, 0.5000000000000081]"
ssvi-narrow-true,2,minpack,3.90077509e2,true,7,6,0.00000000e0,9.93649607e-15,9.93649607e-15,"ResidualsZero","[-0.3, 0.49999999999999006, 0.5000000000000061]"
