case,start,solver,stopping,condition,converged,residual_calls,jacobian_calls,residual_norm,relative_residual,gradient_infinity,gradient_orthogonality,parameter_error,equivalent_parameter_error,fit_target,recovery_target,termination,parameters
collinear-1e-8,1,minpack,radius-only,2.44948975e8,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.22044605e-16,2.22044605e-16,true,true,"ResidualsZero","[0.9999999999999998, -0.9999999999999998]"
collinear-0e0,0,trust-cholesky,gradient-only,inf,true,1,1,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e0,1.00000000e0,true,false,"SolverConverged","[0.0, 0.0]"
collinear-0e0,0,trust-qr,gradient-only,inf,true,1,1,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e0,1.00000000e0,true,false,"SolverConverged","[0.0, 0.0]"
collinear-0e0,0,minpack,gradient-only,inf,true,1,0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e0,1.00000000e0,true,false,"ResidualsZero","[0.0, 0.0]"
collinear-0e0,0,trust-cholesky,step-only,inf,true,1,1,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e0,1.00000000e0,true,false,"SolverConverged","[0.0, 0.0]"
collinear-0e0,0,trust-qr,step-only,inf,true,1,1,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e0,1.00000000e0,true,false,"SolverConverged","[0.0, 0.0]"
collinear-0e0,0,minpack,step-only,inf,true,1,0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e0,1.00000000e0,true,false,"ResidualsZero","[0.0, 0.0]"
collinear-0e0,0,trust-cholesky,radius-only,inf,true,1,1,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e0,1.00000000e0,true,false,"SolverConverged","[0.0, 0.0]"
collinear-0e0,0,trust-qr,radius-only,inf,true,1,1,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e0,1.00000000e0,true,false,"SolverConverged","[0.0, 0.0]"
collinear-0e0,0,minpack,radius-only,inf,true,1,0,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.00000000e0,1.00000000e0,true,false,"ResidualsZero","[0.0, 0.0]"
collinear-0e0,1,trust-cholesky,gradient-only,inf,true,3,3,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.22044605e-16,2.22044605e-16,true,true,"SolverConverged","[1.0000000000000002, -1.0000000000000002]"
