comparison,mode,case,rounds,median_ratio,bootstrap_95_lower,bootstrap_95_upper
before/cobyla-rows,raw,quadratic,12,1.3852296952844463,1.375714191399342,1.4024354047945986
before/cobyla-rows,raw,sphere,12,1.193092044118229,1.1849751141611393,1.1936818453093592
before/cobyla-rows,raw,sphere_1,12,2.5598778185244533,2.546315393741975,2.5764362115756714
before/cobyla-rows,raw,sphere_20,12,0.6829547102598298,0.6802376222717268,0.6871784250018275
before/cobyla-rows,raw,sphere_3,12,1.795492409987767,1.7810765304062612,1.7997911521199552
before/cobyla-rows,raw,sphere_40,12,0.4773809964268898,0.47481415530153215,0.47970625890161755
before/cobyla-rows,raw,sphere_5,12,1.6733639401243163,1.6658940994158278,1.6813982999162849
control/cobyla-native,executor,camel,12,2.3509979236641065,2.3450540914501703,2.36918281327399
control/cobyla-native,executor,quadratic,12,1.6217366258659613,1.6094710001872934,1.6293058756341288
control/cobyla-native,executor,sphere,12,1.22229674311926,1.2171798171058206,1.230354821909748
control/cobyla-native,executor,sphere_1,12,3.4570705143702813,3.442572288427896,3.4851737095977877
control/cobyla-native,executor,sphere_20,12,0.6903866989173653,0.6848907332558234,0.6922991480732936
control/cobyla-native,executor,sphere_3,12,2.1451345751203217,2.1407584526050227,2.1565844187792194
control/cobyla-native,executor,sphere_40,12,0.4816511847885663,0.47769303643785965,0.4833248291798501
control/cobyla-native,executor,sphere_5,12,1.8556567717774841,1.842011564137441,1.867855024359099
control/cobyla-rows,executor,camel,12,2.097483621137547,2.083532848698458,2.123038757847941
control/cobyla-rows,executor,quadratic,12,1.5281120217541007,1.5207772655593987,1.5382897262182875
control/cobyla-rows,executor,sphere,12,1.191990994032007,1.1871001834452737,1.198704469218717
control/cobyla-rows,executor,sphere_1,12,3.0481811258244225,3.0365007438879084,3.059869972201355
control/cobyla-rows,executor,sphere_20,12,0.685092568507772,0.682499675970234,0.6882772485670421
control/cobyla-rows,executor,sphere_3,12,1.9633193194805318,1.9446809697016572,1.9718649418586986
control/cobyla-rows,executor,sphere_40,12,0.4826449323387973,0.4795457993627289,0.4836750181556706
control/cobyla-rows,executor,sphere_5,12,1.7395224535042937,1.725902578948845,1.744974706917729
control/cobyla-native,raw,camel,12,2.0574832288827345,2.042742969859076,2.0869628525234694
control/cobyla-native,raw,quadratic,12,1.4669126535153976,1.4617913730941372,1.477358108325348
control/cobyla-native,raw,sphere,12,1.2222780587869422,1.2110794669155487,1.2265469319611708
control/cobyla-native,raw,sphere_1,12,2.890948463243558,2.875884234950045,2.9207532959981632
control/cobyla-native,raw,sphere_20,12,0.685961158599022,0.6813728569942143,0.689010089209851
control/cobyla-native,raw,sphere_3,12,1.9667113352073264,1.9501294355469103,1.9735971681284603
control/cobyla-native,raw,sphere_40,12,0.4765260665412877,0.47562320414790243,0.4788324256364283
control/cobyla-native,raw,sphere_5,12,1.780146740956051,1.7744010396282575,1.7934203983028658
control/cobyla-rows,raw,camel,12,1.8485848243172425,1.8299986446202998,1.8520860568371518
control/cobyla-rows,raw,quadratic,12,1.3860339766315293,1.3828246986768218,1.3938923944797939
control/cobyla-rows,raw,sphere,12,1.18865954672205,1.1856275022271021,1.1948905831809777
control/cobyla-rows,raw,sphere_1,12,2.5473511476174178,2.5324783870886094,2.570652516303018
control/cobyla-rows,raw,sphere_20,12,0.6808577822345181,0.6797024323198803,0.6836786522812888
control/cobyla-rows,raw,sphere_3,12,1.7873067994248746,1.7785510639316446,1.8001487450690568
control/cobyla-rows,raw,sphere_40,12,0.47700805582111977,0.47615038519534925,0.4800649232631347
control/cobyla-rows,raw,sphere_5,12,1.6700420971715415,1.6588766279788736,1.6765993299368396
