case,start,solver,profile,row,boundary,residual_calls,jacobian_calls,trial_evaluated,accepted,trial_unchanged,base_residual_norm,base_relative_residual,base_gradient_inf,base_orthogonality,base_equivalent_parameter_error,actual_relative_reduction,reconstructed_linear_relative_reduction,reconstructed_relative_step,reconstructed_scaled_relative_step,svd_rank,svd_relative_model_potential,svd_relative_step,svd_scaled_relative_step,reason
collinear-1e-8,0,trust-cholesky,relative,boundary,1,2,1,true,true,false,1.4142135616287155e-8,1.0000000000000000e0,1.1102230246251565e-16,4.5324665132184805e-9,1.0000000000000000e0,3.9965393927887760e-1,3.9965393927887766e-1,1.0000000000000000e0,1.0000000000000000e0,2,1.0000000000000004e0,inf,inf,None
collinear-1e-8,0,trust-cholesky,relative,boundary,2,3,2,true,true,false,1.0957609776672384e-8,7.7482001827593638e-1,1.5496400437515563e-16,8.1649658700833072e-9,7.7482001855969429e-1,3.9965394213609168e-1,3.9965394213609151e-1,4.3656258786044116e-1,4.3656258786044111e-1,2,1.0000000000000004e0,3.4408920996175159e0,3.4408920996175154e0,None
collinear-1e-8,0,trust-cholesky,relative,boundary,3,4,3,true,true,false,8.4901753872183207e-9,6.0034605929251528e-1,6.4558060332336018e-17,4.3900876267599642e-9,6.0034606046974659e-1,3.9965394096035112e-1,3.9965393737815469e-1,2.5275961242036810e-1,2.5275961242036810e-1,2,1.0000000000000009e0,1.5021647494826951e0,1.5021647494826948e0,None
collinear-1e-8,0,trust-cholesky,relative,boundary,4,5,4,true,true,false,6.5783578394779402e-9,4.6516014398149347e-1,9.3032028247896823e-17,8.1649658145721560e-9,4.6516014635562897e-1,3.9965391777306336e-1,3.9965393857774578e-1,1.6376997042066654e-1,1.6376997042066657e-1,2,1.0000000000000004e0,8.6971855467506820e-1,8.6971855467506798e-1,None
collinear-1e-8,0,trust-cholesky,relative,boundary,5,6,5,true,true,false,5.0970434327040131e-9,3.6041539771644332e-1,7.2083079115456989e-17,8.1649658145721560e-9,3.6041539441794157e-1,3.9965395208896098e-1,3.9965393717174624e-1,1.1260371461483946e-1,1.1260371461483946e-1,2,1.0000000000000004e0,5.6351481096970080e-1,5.6351481096970080e-1,None
collinear-1e-8,0,trust-cholesky,relative,boundary,6,7,6,true,true,false,3.9492912435463076e-9,2.7925706206621331e-1,5.5851412389821821e-17,8.1649658145721560e-9,2.7925706235691905e-1,3.9965393167023266e-1,3.9965393937122889e-1,8.0246312635710040e-2,8.0246312635710040e-2,2,1.0000000000000009e0,3.8745723029520679e-1,3.8745723029520668e-1,None
collinear-1e-8,0,trust-cholesky,relative,boundary,7,8,7,true,true,false,3.0599899328923423e-9,2.1637396330496406e-1,4.3274792506852772e-17,8.1649658145721560e-9,2.1637396235018969e-1,3.9965395073378290e-1,3.9965393830993690e-1,5.8536836929250963e-2,5.8536836929250949e-2,2,1.0000000000000004e0,2.7611890512519199e-1,2.7611890512519199e-1,None
collinear-1e-8,0,trust-cholesky,relative,boundary,8,9,8,true,true,false,2.3709414331084472e-9,1.6765087660295744e-1,1.1102230246251565e-16,2.7035149507970146e-8,1.6765087749809027e-1,3.9965391329001548e-1,3.9965393573830627e-1,4.3387643762637838e-2,4.3387643762637845e-2,2,1.0000000000000007e0,2.0141893858650967e-1,2.0141893858650964e-1,None
collinear-1e-8,0,trust-cholesky,relative,boundary,9,10,9,true,true,false,1.8370529242950894e-9,1.2989925808513672e-1,2.5979851485024844e-17,8.1649658145721560e-9,1.2989925639703870e-1,3.9965394425001027e-1,3.9965393804166771e-1,3.2524228623430379e-2,3.2524228623430386e-2,2,1.0000000000000009e0,1.4929220459049564e-1,1.4929220459049566e-1,None
collinear-1e-8,0,trust-cholesky,relative,boundary,10,11,10,true,true,false,1.4233853744830512e-9,1.0064854510684883e-1,2.0129709040177008e-17,8.1649658145721560e-9,1.0064854403026402e-1,3.9965393585718367e-1,3.9965393852805881e-1,2.4580972546351904e-2,2.4580972546351901e-2,2,1.0000000000000004e0,1.1191236145746972e-1,1.1191236145746973e-1,None
collinear-1e-8,0,trust-cholesky,relative,boundary,83,84,68,true,false,false,4.7102773760513248e-16,3.3306690756285863e-8,6.6613381565706566e-24,8.1649658145721560e-9,3.7907145977733592e-8,0.0000000000000000e0,4.3172867340197987e-5,7.1898045800174861e-13,7.1898045800174861e-13,2,1.0000000000000009e0,3.3306692055559164e-8,3.3306692055559164e-8,Some(SolverConverged)
collinear-1e-8,0,trust-cholesky,relative,final,83,84,68,false,false,false,4.7102773760513248e-16,3.3306690756285863e-8,6.6613381565706566e-24,8.1649658145721560e-9,3.7907145977733592e-8,,,,,2,1.0000000000000009e0,3.3306692055559164e-8,3.3306692055559164e-8,Some(SolverConverged)
collinear-1e-8,0,trust-cholesky,gradient-only,boundary,1,2,1,true,true,false,1.4142135616287155e-8,1.0000000000000000e0,1.1102230246251565e-16,4.5324665132184805e-9,1.0000000000000000e0,3.9965393927887760e-1,3.9965393927887766e-1,1.0000000000000000e0,1.0000000000000000e0,2,1.0000000000000004e0,inf,inf,None
collinear-1e-8,0,trust-cholesky,gradient-only,boundary,2,3,2,true,true,false,1.0957609776672384e-8,7.7482001827593638e-1,1.5496400437515563e-16,8.1649658700833072e-9,7.7482001855969429e-1,3.9965394213609168e-1,3.9965394213609151e-1,4.3656258786044116e-1,4.3656258786044111e-1,2,1.0000000000000004e0,3.4408920996175159e0,3.4408920996175154e0,None
collinear-1e-8,0,trust-cholesky,gradient-only,boundary,3,4,3,true,true,false,8.4901753872183207e-9,6.0034605929251528e-1,6.4558060332336018e-17,4.3900876267599642e-9,6.0034606046974659e-1,3.9965394096035112e-1,3.9965393737815469e-1,2.5275961242036810e-1,2.5275961242036810e-1,2,1.0000000000000009e0,1.5021647494826951e0,1.5021647494826948e0,None
collinear-1e-8,0,trust-cholesky,gradient-only,boundary,4,5,4,true,true,false,6.5783578394779402e-9,4.6516014398149347e-1,9.3032028247896823e-17,8.1649658145721560e-9,4.6516014635562897e-1,3.9965391777306336e-1,3.9965393857774578e-1,1.6376997042066654e-1,1.6376997042066657e-1,2,1.0000000000000004e0,8.6971855467506820e-1,8.6971855467506798e-1,None
collinear-1e-8,0,trust-cholesky,gradient-only,boundary,5,6,5,true,true,false,5.0970434327040131e-9,3.6041539771644332e-1,7.2083079115456989e-17,8.1649658145721560e-9,3.6041539441794157e-1,3.9965395208896098e-1,3.9965393717174624e-1,1.1260371461483946e-1,1.1260371461483946e-1,2,1.0000000000000004e0,5.6351481096970080e-1,5.6351481096970080e-1,None
collinear-1e-8,0,trust-cholesky,gradient-only,boundary,6,7,6,true,true,false,3.9492912435463076e-9,2.7925706206621331e-1,5.5851412389821821e-17,8.1649658145721560e-9,2.7925706235691905e-1,3.9965393167023266e-1,3.9965393937122889e-1,8.0246312635710040e-2,8.0246312635710040e-2,2,1.0000000000000009e0,3.8745723029520679e-1,3.8745723029520668e-1,None
collinear-1e-8,0,trust-cholesky,gradient-only,boundary,7,8,7,true,true,false,3.0599899328923423e-9,2.1637396330496406e-1,4.3274792506852772e-17,8.1649658145721560e-9,2.1637396235018969e-1,3.9965395073378290e-1,3.9965393830993690e-1,5.8536836929250963e-2,5.8536836929250949e-2,2,1.0000000000000004e0,2.7611890512519199e-1,2.7611890512519199e-1,None
